model,src_seq_length,tgt_seq_length,vocab_size,cnn_layers,dropout,lr,score,pplx,acc
235,3010,200,1000,5,0.48659020299999994,0.531036118,,,
236,3010,200,1000,5,0.0444264,0.873290123,,,
237,3010,200,1000,5,0.0444264,0.814692015,,,
238,3010,200,1000,5,0.0444264,0.531036118,,,
239,3010,200,3000,3,0.9191011990000001,0.369975469,,,
240,3010,200,3000,3,0.9191011990000001,0.277831068,,,
241,3010,200,3000,3,0.6800738829999999,0.369975469,,,
242,3010,200,3000,3,0.6800738829999999,0.277831068,,,
243,3010,200,3000,3,0.9191011990000001,0.369975469,,,
244,3010,200,3000,3,0.9191011990000001,0.277831068,,,
245,3010,200,3000,3,0.6800738829999999,0.369975469,,,
246,3010,200,3000,3,0.6800738829999999,0.277831068,,,
247,3010,200,3000,2,0.9191011990000001,0.369975469,,,
248,3010,200,3000,2,0.9191011990000001,0.277831068,,,
249,3010,200,3000,2,0.6800738829999999,0.369975469,,,
250,3010,200,3000,2,0.6800738829999999,0.277831068,,,
251,3010,200,3000,1,0.19334297399999997,0.450013506,,,
252,3010,200,3000,1,0.19334297399999997,0.8474859220000001,,,
253,3010,200,3000,1,0.19334297399999997,0.450013506,,,
254,3010,200,3000,1,0.19334297399999997,0.8474859220000001,,,
255,3010,200,3000,3,0.48659020299999994,0.873290123,,,
256,3010,200,3000,3,0.48659020299999994,0.814692015,,,
257,3010,200,3000,3,0.48659020299999994,0.531036118,,,
258,3010,200,3000,3,0.0444264,0.873290123,,,
259,3010,200,3000,3,0.0444264,0.814692015,,,
260,3010,200,3000,3,0.0444264,0.531036118,,,
261,3010,200,3000,3,0.48659020299999994,0.873290123,,,
262,3010,200,3000,3,0.48659020299999994,0.814692015,,,
263,3010,200,3000,3,0.48659020299999994,0.531036118,,,
264,3010,200,3000,3,0.0444264,0.873290123,,,
265,3010,200,3000,3,0.0444264,0.814692015,,,
266,3010,200,3000,3,0.0444264,0.531036118,,,
267,3010,200,3000,5,0.48659020299999994,0.873290123,,,
268,3010,200,3000,5,0.48659020299999994,0.814692015,,,
269,3010,200,3000,5,0.48659020299999994,0.531036118,,,
270,3010,200,3000,5,0.0444264,0.873290123,,,
271,3010,200,3000,5,0.0444264,0.814692015,,,
272,3010,200,3000,5,0.0444264,0.531036118,,,
273,3010,100,4000,5,0.321497676,0.0002,,,
274,3010,100,4000,5,0.6225408889999999,0.0002,,,
275,3010,100,4000,3,0.321497676,0.0002,,,
276,3010,100,4000,3,0.6225408889999999,0.0002,,,
277,3010,100,4000,2,0.321497676,0.0002,,,
278,3010,100,4000,2,0.6225408889999999,0.0002,,,
