,cnn_layers,dropout,lr,preproc_model
65,2,0.919101199,0.369975469,1
66,2,0.919101199,0.369975469,2
67,2,0.919101199,0.369975469,3
68,2,0.919101199,0.369975469,4
69,2,0.919101199,0.369975469,5
70,2,0.919101199,0.369975469,6
71,2,0.919101199,0.369975469,7
72,2,0.919101199,0.369975469,8
73,2,0.919101199,0.277831068,1
74,2,0.919101199,0.277831068,2
75,2,0.919101199,0.277831068,3
76,2,0.919101199,0.277831068,4
77,2,0.919101199,0.277831068,5
78,2,0.919101199,0.277831068,6
79,2,0.919101199,0.277831068,7
80,2,0.919101199,0.277831068,8
81,2,0.680073883,0.369975469,1
82,2,0.680073883,0.369975469,2
83,2,0.680073883,0.369975469,3
84,2,0.680073883,0.369975469,4
85,2,0.680073883,0.369975469,5
86,2,0.680073883,0.369975469,6
87,2,0.680073883,0.369975469,7
88,2,0.680073883,0.369975469,8
89,2,0.680073883,0.277831068,1
90,2,0.680073883,0.277831068,2
91,2,0.680073883,0.277831068,3
92,2,0.680073883,0.277831068,4
93,2,0.680073883,0.277831068,5
94,2,0.680073883,0.277831068,6
95,2,0.680073883,0.277831068,7
96,2,0.680073883,0.277831068,8
97,2,0.565125921,0.66259112,1
98,1,0.193342974,0.450013506,1
99,1,0.193342974,0.450013506,2
100,1,0.193342974,0.450013506,3
101,1,0.193342974,0.450013506,4
102,1,0.193342974,0.450013506,5
103,1,0.193342974,0.450013506,6
104,1,0.193342974,0.450013506,7
105,1,0.193342974,0.450013506,8
106,1,0.193342974,0.847485922,1
107,1,0.193342974,0.847485922,2
108,1,0.193342974,0.847485922,3
109,1,0.193342974,0.847485922,4
110,1,0.193342974,0.847485922,5
111,1,0.193342974,0.847485922,6
112,1,0.193342974,0.847485922,7
113,1,0.193342974,0.847485922,8
114,1,0.193342974,0.450013506,1
115,1,0.193342974,0.450013506,2
116,1,0.193342974,0.450013506,3
117,1,0.193342974,0.450013506,4
118,1,0.193342974,0.450013506,5
119,1,0.193342974,0.450013506,6
120,1,0.193342974,0.450013506,7
121,1,0.193342974,0.450013506,8
122,1,0.193342974,0.847485922,1
123,1,0.193342974,0.847485922,2
124,1,0.193342974,0.847485922,3
125,1,0.193342974,0.847485922,4
126,1,0.193342974,0.847485922,5
127,1,0.193342974,0.847485922,6
128,1,0.193342974,0.847485922,7
129,1,0.193342974,0.847485922,8
130,3,0.486590203,0.873290123,1
131,3,0.486590203,0.873290123,2
132,3,0.486590203,0.873290123,3
133,3,0.486590203,0.873290123,4
134,3,0.486590203,0.873290123,5
135,3,0.486590203,0.873290123,6
136,3,0.486590203,0.873290123,7
137,3,0.486590203,0.873290123,8
138,3,0.486590203,0.814692015,1
139,3,0.486590203,0.814692015,2
140,3,0.486590203,0.814692015,3
141,3,0.486590203,0.814692015,4
142,3,0.486590203,0.814692015,5
143,3,0.486590203,0.814692015,6
144,3,0.486590203,0.814692015,7
145,3,0.486590203,0.814692015,8
146,3,0.486590203,0.531036118,1
147,3,0.486590203,0.531036118,2
148,3,0.486590203,0.531036118,3
149,3,0.486590203,0.531036118,4
150,3,0.486590203,0.531036118,5
151,3,0.486590203,0.531036118,6
152,3,0.486590203,0.531036118,7
153,3,0.486590203,0.531036118,8
154,3,0.0444264,0.873290123,1
155,3,0.0444264,0.873290123,2
156,3,0.0444264,0.873290123,3
157,3,0.0444264,0.873290123,4
158,3,0.0444264,0.873290123,5
159,3,0.0444264,0.873290123,6
160,3,0.0444264,0.873290123,7
161,3,0.0444264,0.873290123,8
162,3,0.0444264,0.814692015,1
163,3,0.0444264,0.814692015,2
164,3,0.0444264,0.814692015,3
165,3,0.0444264,0.814692015,4
166,3,0.0444264,0.814692015,5
167,3,0.0444264,0.814692015,6
168,3,0.0444264,0.814692015,7
169,3,0.0444264,0.814692015,8
170,3,0.0444264,0.531036118,1
171,3,0.0444264,0.531036118,2
172,3,0.0444264,0.531036118,3
173,3,0.0444264,0.531036118,4
174,3,0.0444264,0.531036118,5
175,3,0.0444264,0.531036118,6
176,3,0.0444264,0.531036118,7
177,3,0.0444264,0.531036118,8
178,3,0.486590203,0.873290123,1
179,3,0.486590203,0.873290123,2
180,3,0.486590203,0.873290123,3
181,3,0.486590203,0.873290123,4
182,3,0.486590203,0.873290123,5
183,3,0.486590203,0.873290123,6
184,3,0.486590203,0.873290123,7
185,3,0.486590203,0.873290123,8
186,3,0.486590203,0.814692015,1
187,3,0.486590203,0.814692015,2
188,3,0.486590203,0.814692015,3
189,3,0.486590203,0.814692015,4
190,3,0.486590203,0.814692015,5
191,3,0.486590203,0.814692015,6
192,3,0.486590203,0.814692015,7
193,3,0.486590203,0.814692015,8
194,3,0.486590203,0.531036118,1
195,3,0.486590203,0.531036118,2
196,3,0.486590203,0.531036118,3
197,3,0.486590203,0.531036118,4
198,3,0.486590203,0.531036118,5
199,3,0.486590203,0.531036118,6
200,3,0.486590203,0.531036118,7
201,3,0.486590203,0.531036118,8
202,3,0.0444264,0.873290123,1
203,3,0.0444264,0.873290123,2
204,3,0.0444264,0.873290123,3
205,3,0.0444264,0.873290123,4
206,3,0.0444264,0.873290123,5
207,3,0.0444264,0.873290123,6
208,3,0.0444264,0.873290123,7
209,3,0.0444264,0.873290123,8
210,3,0.0444264,0.814692015,1
211,3,0.0444264,0.814692015,2
212,3,0.0444264,0.814692015,3
213,3,0.0444264,0.814692015,4
214,3,0.0444264,0.814692015,5
215,3,0.0444264,0.814692015,6
216,3,0.0444264,0.814692015,7
217,3,0.0444264,0.814692015,8
218,3,0.0444264,0.531036118,1
219,3,0.0444264,0.531036118,2
220,3,0.0444264,0.531036118,3
221,3,0.0444264,0.531036118,4
222,3,0.0444264,0.531036118,5
223,3,0.0444264,0.531036118,6
224,3,0.0444264,0.531036118,7
225,3,0.0444264,0.531036118,8
226,5,0.486590203,0.873290123,1
227,5,0.486590203,0.873290123,2
228,5,0.486590203,0.873290123,3
229,5,0.486590203,0.873290123,4
230,5,0.486590203,0.873290123,5
231,5,0.486590203,0.873290123,6
232,5,0.486590203,0.873290123,7
233,5,0.486590203,0.873290123,8
234,5,0.486590203,0.814692015,1
235,5,0.486590203,0.814692015,2
236,5,0.486590203,0.814692015,3
237,5,0.486590203,0.814692015,4
238,5,0.486590203,0.814692015,5
239,5,0.486590203,0.814692015,6
240,5,0.486590203,0.814692015,7
241,5,0.486590203,0.814692015,8
242,5,0.486590203,0.531036118,1
243,5,0.486590203,0.531036118,2
244,5,0.486590203,0.531036118,3
245,5,0.486590203,0.531036118,4
246,5,0.486590203,0.531036118,5
247,5,0.486590203,0.531036118,6
248,5,0.486590203,0.531036118,7
249,5,0.486590203,0.531036118,8
250,5,0.0444264,0.873290123,1
251,5,0.0444264,0.873290123,2
252,5,0.0444264,0.873290123,3
253,5,0.0444264,0.873290123,4
254,5,0.0444264,0.873290123,5
255,5,0.0444264,0.873290123,6
256,5,0.0444264,0.873290123,7
257,5,0.0444264,0.873290123,8
258,5,0.0444264,0.814692015,1
259,5,0.0444264,0.814692015,2
260,5,0.0444264,0.814692015,3
261,5,0.0444264,0.814692015,4
262,5,0.0444264,0.814692015,5
263,5,0.0444264,0.814692015,6
264,5,0.0444264,0.814692015,7
265,5,0.0444264,0.814692015,8
266,5,0.0444264,0.531036118,1
267,5,0.0444264,0.531036118,2
268,5,0.0444264,0.531036118,3
269,5,0.0444264,0.531036118,4
270,5,0.0444264,0.531036118,5
271,5,0.0444264,0.531036118,6
272,5,0.0444264,0.531036118,7
273,5,0.0444264,0.531036118,8
5000,5,0.321497676,0.0002,5000
5001,5,0.622540889,0.0002,5000
5002,3,0.321497676,0.0002,5000
5003,3,0.622540889,0.0002,5000
5004,2,0.321497676,0.0002,5000
5005,2,0.622540889,0.0002,5000
